picture, American_Sniper Birdman Boyhood Grand_Budapest_Hotel Imitation_Game Selma Theory_Of_Everything Whiplash
actor, Foxcatcher American_Sniper Imitation_Game Birdman Theory_Of_Everything 
supporting_actor, Judge Boyhood Birdman Foxcatcher Whiplash 
actress, Two_Days_One_Night Theory_Of_Everything Still_Alice Gone_Girl Wild 
supporting_actress, Boyhood Wild Imitation_Game Birdman Into_Woods 
cinematog, Birdman Grand_Budapest_Hotel Ida Mr_Turner Unbroken 
costume, Grand_Budapest_Hotel Inherent_Vice Into_Woods Maleficent Mr_Turner 
directing, Birdman Boyhood Foxcatcher Grand_Budapest_Hotel Imitation_Game 
editing, American_Sniper Boyhood Grand_Budapest_Hotel Imitation_Game Whiplash 
makeup, Foxcatcher Grand_Budapest_Hotel Guardians_Of_Galaxy 
score, Grand_Budapest_Hotel Imitation_Game Interstellar Mr_Turner Theory_Of_Everything 
song, Lego_Movie Selma Beyond_Lights Glen_Campbell_Ill_Be_Me Begin_Again 
design, Grand_Budapest_Hotel Imitation_Game Interstellar Into_Woods Mr_Turner 
sound_editing, American_Sniper Birdman Hobbit_Battle_Of_Five_Armies Interstellar Unbroken 
sound_mixing, American_Sniper Birdman Interstellar Unbroken Whiplash
effects, Captain_America_Winter_Soldier Dawn_Of_Planet_Of_Apes Guardians_Of_Galaxy Interstellar Xmen_Days_Of_Future_Past 
adapted, American_Sniper Imitation_Game Inherent_Vice Theory_Of_Everything Whiplash 
original, Birdman Boyhood Foxcatcher Grand_Budapest_Hotel Nightcrawler 
